experiment_id,ingredient_id,name_original,name_original,name_en,name_en
1,1,,flour,,flour
1,1,,sugar,,sugar
1,1,,egg,,egg
1,1,,warm ,,warm milk
1,1,,tomat,,tomato
1,1,,mozza,,mozzarella
1,2,,flour,flour,flour
1,2,,sugar,flour,sugar
1,2,,egg,flour,egg
1,2,,warm ,flour,warm milk
1,2,,tomat,flour,tomato
1,2,,mozza,flour,mozzarella
1,3,,flour,sugar,flour
1,3,,sugar,sugar,sugar
1,3,,egg,sugar,egg
1,3,,warm ,sugar,warm milk
1,3,,tomat,sugar,tomato
1,3,,mozza,sugar,mozzarella
1,4,,flour,salt,flour
1,4,,sugar,salt,sugar
1,4,,egg,salt,egg
1,4,,warm ,salt,warm milk
1,4,,tomat,salt,tomato
1,4,,mozza,salt,mozzarella
1,5,,flour,baking powder,flour
1,5,,sugar,baking powder,sugar
1,5,,egg,baking powder,egg
1,5,,warm ,baking powder,warm milk
1,5,,tomat,baking powder,tomato
1,5,,mozza,baking powder,mozzarella
1,6,,flour,yeast,flour
1,6,,sugar,yeast,sugar
1,6,,egg,yeast,egg
1,6,,warm ,yeast,warm milk
1,6,,tomat,yeast,tomato
1,6,,mozza,yeast,mozzarella
1,7,,flour,egg,flour
1,7,,sugar,egg,sugar
1,7,,egg,egg,egg
1,7,,warm ,egg,warm milk
1,7,,tomat,egg,tomato
1,7,,mozza,egg,mozzarella
1,8,,flour,warm milk,flour
1,8,,sugar,warm milk,sugar
1,8,,egg,warm milk,egg
1,8,,warm ,warm milk,warm milk
1,8,,tomat,warm milk,tomato
1,8,,mozza,warm milk,mozzarella
1,9,,flour,tomato,flour
1,9,,sugar,tomato,sugar
1,9,,egg,tomato,egg
1,9,,warm ,tomato,warm milk
1,9,,tomat,tomato,tomato
1,9,,mozza,tomato,mozzarella
1,10,,flour,mozzarella,flour
1,10,,sugar,mozzarella,sugar
1,10,,egg,mozzarella,egg
1,10,,warm ,mozzarella,warm milk
1,10,,tomat,mozzarella,tomato
1,10,,mozza,mozzarella,mozzarella
1,11,,flour,prosciutto,flour
1,11,,sugar,prosciutto,sugar
1,11,,egg,prosciutto,egg
1,11,,warm ,prosciutto,warm milk
1,11,,tomat,prosciutto,tomato
1,11,,mozza,prosciutto,mozzarella
1,12,,flour,arugula,flour
1,12,,sugar,arugula,sugar
1,12,,egg,arugula,egg
1,12,,warm ,arugula,warm milk
1,12,,tomat,arugula,tomato
1,12,,mozza,arugula,mozzarella
1,13,,flour,olive oil,flour
1,13,,sugar,olive oil,sugar
1,13,,egg,olive oil,egg
1,13,,warm ,olive oil,warm milk
1,13,,tomat,olive oil,tomato
1,13,,mozza,olive oil,mozzarella
1,14,,flour,cured egg yolks,flour
1,14,,sugar,cured egg yolks,sugar
1,14,,egg,cured egg yolks,egg
1,14,,warm ,cured egg yolks,warm milk
1,14,,tomat,cured egg yolks,tomato
1,14,,mozza,cured egg yolks,mozzarella
1,15,,flour,black pepper,flour
1,15,,sugar,black pepper,sugar
1,15,,egg,black pepper,egg
1,15,,warm ,black pepper,warm milk
1,15,,tomat,black pepper,tomato
1,15,,mozza,black pepper,mozzarella
2,16,Apple,apple,Apple,apple
2,17,,apple,,apple
3,18,Bagels,bagel,Bagel,bagels
3,18,Bagels,melte,Bagel,melted butter
3,18,Bagels,honey,Bagel,honey
3,19,Unsalted Butter,bagel,Butter,bagels
3,19,Unsalted Butter,melte,Butter,melted butter
3,19,Unsalted Butter,honey,Butter,honey
3,20,Honey,bagel,Honey,bagels
3,20,Honey,melte,Honey,melted butter
3,20,Honey,honey,Honey,honey
3,21,Salt,bagel,Salt,bagels
3,21,Salt,melte,Salt,melted butter
3,21,Salt,honey,Salt,honey
3,22,MSG (optional),bagel,MSG,bagels
3,22,MSG (optional),melte,MSG,melted butter
3,22,MSG (optional),honey,MSG,honey
3,23,Parsley Powder,bagel,Parsley Powder,bagels
3,23,Parsley Powder,melte,Parsley Powder,melted butter
3,23,Parsley Powder,honey,Parsley Powder,honey
4,24,Potatoes,potat,Potatoes,potatoes
4,24,Potatoes,salmo,Potatoes,salmon
4,24,Potatoes,Japan,Potatoes,Japanese mayo
4,24,Potatoes,sprin,Potatoes,spring onions
4,25,Garlic oil,potat,Garlic Oil,potatoes
4,25,Garlic oil,salmo,Garlic Oil,salmon
4,25,Garlic oil,Japan,Garlic Oil,Japanese mayo
4,25,Garlic oil,sprin,Garlic Oil,spring onions
4,26,Salt,potat,Salt,potatoes
4,26,Salt,salmo,Salt,salmon
4,26,Salt,Japan,Salt,Japanese mayo
4,26,Salt,sprin,Salt,spring onions
4,27,Salmon,potat,Salmon,potatoes
