experiment_id,ingredient_id,quantity_value,quantity_value_culinary,unit_en,quantity_unit_culinary
1,1,0.0,1.0,,cup
1,1,0.0,1.0,,tbsp
1,1,0.0,1.0,,whole
1,1,0.0,1.0,,cup
1,1,0.0,1.0,,whole
1,1,0.0,1.0,,cup
1,2,250.0,1.0,,cup
1,2,250.0,1.0,,tbsp
1,2,250.0,1.0,,whole
1,2,250.0,1.0,,cup
1,2,250.0,1.0,,whole
1,2,250.0,1.0,,cup
1,3,50.0,1.0,,cup
1,3,50.0,1.0,,tbsp
1,3,50.0,1.0,,whole
1,3,50.0,1.0,,cup
1,3,50.0,1.0,,whole
1,3,50.0,1.0,,cup
1,4,1.0,1.0,,cup
1,4,1.0,1.0,,tbsp
1,4,1.0,1.0,,whole
1,4,1.0,1.0,,cup
1,4,1.0,1.0,,whole
1,4,1.0,1.0,,cup
1,5,1.0,1.0,,cup
1,5,1.0,1.0,,tbsp
1,5,1.0,1.0,,whole
1,5,1.0,1.0,,cup
1,5,1.0,1.0,,whole
1,5,1.0,1.0,,cup
1,6,1.0,1.0,,cup
1,6,1.0,1.0,,tbsp
1,6,1.0,1.0,,whole
1,6,1.0,1.0,,cup
1,6,1.0,1.0,,whole
1,6,1.0,1.0,,cup
1,7,1.0,1.0,,cup
1,7,1.0,1.0,,tbsp
1,7,1.0,1.0,,whole
1,7,1.0,1.0,,cup
1,7,1.0,1.0,,whole
1,7,1.0,1.0,,cup
1,8,100.0,1.0,,cup
1,8,100.0,1.0,,tbsp
1,8,100.0,1.0,,whole
1,8,100.0,1.0,,cup
1,8,100.0,1.0,,whole
1,8,100.0,1.0,,cup
1,9,100.0,1.0,,cup
1,9,100.0,1.0,,tbsp
1,9,100.0,1.0,,whole
1,9,100.0,1.0,,cup
1,9,100.0,1.0,,whole
1,9,100.0,1.0,,cup
1,10,50.0,1.0,,cup
1,10,50.0,1.0,,tbsp
1,10,50.0,1.0,,whole
1,10,50.0,1.0,,cup
1,10,50.0,1.0,,whole
1,10,50.0,1.0,,cup
1,11,50.0,1.0,,cup
1,11,50.0,1.0,,tbsp
1,11,50.0,1.0,,whole
1,11,50.0,1.0,,cup
1,11,50.0,1.0,,whole
1,11,50.0,1.0,,cup
1,12,50.0,1.0,,cup
1,12,50.0,1.0,,tbsp
1,12,50.0,1.0,,whole
1,12,50.0,1.0,,cup
1,12,50.0,1.0,,whole
1,12,50.0,1.0,,cup
1,13,10.0,1.0,,cup
1,13,10.0,1.0,,tbsp
1,13,10.0,1.0,,whole
1,13,10.0,1.0,,cup
1,13,10.0,1.0,,whole
1,13,10.0,1.0,,cup
1,14,20.0,1.0,,cup
1,14,20.0,1.0,,tbsp
1,14,20.0,1.0,,whole
1,14,20.0,1.0,,cup
1,14,20.0,1.0,,whole
1,14,20.0,1.0,,cup
1,15,1.0,1.0,,cup
1,15,1.0,1.0,,tbsp
1,15,1.0,1.0,,whole
1,15,1.0,1.0,,cup
1,15,1.0,1.0,,whole
1,15,1.0,1.0,,cup
2,16,1.0,1.0,apple,whole
2,17,0.0,1.0,,whole
3,18,6.0,3.0,,whole
3,18,6.0,1.0,,tbsp
3,18,6.0,1.0,,tbsp
3,19,100.0,3.0,,whole
3,19,100.0,1.0,,tbsp
3,19,100.0,1.0,,tbsp
3,20,50.0,3.0,,whole
3,20,50.0,1.0,,tbsp
3,20,50.0,1.0,,tbsp
3,21,1.0,3.0,,whole
3,21,1.0,1.0,,tbsp
3,21,1.0,1.0,,tbsp
3,22,1.0,3.0,,whole
3,22,1.0,1.0,,tbsp
3,22,1.0,1.0,,tbsp
3,23,1.0,3.0,,whole
3,23,1.0,1.0,,tbsp
3,23,1.0,1.0,,tbsp
4,24,1.0,3.0,,whole
4,24,1.0,1.0,,fillet
4,24,1.0,1.0,,tbsp
4,24,1.0,1.0,,tbsp
4,25,1.0,3.0,,whole
4,25,1.0,1.0,,fillet
4,25,1.0,1.0,,tbsp
4,25,1.0,1.0,,tbsp
4,26,1.0,3.0,,whole
4,26,1.0,1.0,,fillet
4,26,1.0,1.0,,tbsp
4,26,1.0,1.0,,tbsp
4,27,200.0,3.0,,whole
4,27,200.0,1.0,,fillet
4,27,200.0,1.0,,tbsp
4,27,200.0,1.0,,tbsp
4,28,1.0,3.0,,whole
4,28,1.0,1.0,,fillet
4,28,1.0,1.0,,tbsp
4,28,1.0,1.0,,tbsp
4,29,1.0,3.0,,whole
4,29,1.0,1.0,,fillet
4,29,1.0,1.0,,tbsp
4,29,1.0,1.0,,tbsp
4,30,1.0,3.0,,whole
4,30,1.0,1.0,,fillet
4,30,1.0,1.0,,tbsp
4,30,1.0,1.0,,tbsp
5,31,1.0,1.0,,whole
5,31,1.0,1.0,,cup
5,31,1.0,1.0,,cup
5,31,1.0,2.0,,yolk
5,32,100.0,1.0,,whole
5,32,100.0,1.0,,cup
5,32,100.0,1.0,,cup
5,32,100.0,2.0,,yolk
5,33,100.0,1.0,,whole
5,33,100.0,1.0,,cup
5,33,100.0,1.0,,cup
5,33,100.0,2.0,,yolk
5,34,1.0,1.0,,whole
5,34,1.0,1.0,,cup
5,34,1.0,1.0,,cup
5,34,1.0,2.0,,yolk
5,35,0.25,1.0,,whole
5,35,0.25,1.0,,cup
5,35,0.25,1.0,,cup
5,35,0.25,2.0,,yolk
5,36,2.0,1.0,,whole
5,36,2.0,1.0,,cup
5,36,2.0,1.0,,cup
5,36,2.0,2.0,,yolk
5,37,100.0,1.0,,whole
5,37,100.0,1.0,,cup
5,37,100.0,1.0,,cup
5,37,100.0,2.0,,yolk
6,38,1.0,1.0,,can
6,38,1.0,3.0,,clove
6,38,1.0,1.0,,serving
6,39,1.0,1.0,,can
6,39,1.0,3.0,,clove
6,39,1.0,1.0,,serving
6,40,4.0,1.0,,can
6,40,4.0,3.0,,clove
6,40,4.0,1.0,,serving
6,41,8.0,1.0,,can
6,41,8.0,3.0,,clove
6,41,8.0,1.0,,serving
7,42,2.0,2.0,,whole
7,42,2.0,1.0,,tbsp
7,42,2.0,1.0,,cup
7,43,100.0,2.0,,whole
7,43,100.0,1.0,,tbsp
7,43,100.0,1.0,,cup
7,44,200.0,2.0,,whole
7,44,200.0,1.0,,tbsp
7,44,200.0,1.0,,cup
7,45,50.0,2.0,,whole
7,45,50.0,1.0,,tbsp
7,45,50.0,1.0,,cup
7,46,1.0,2.0,,whole
7,46,1.0,1.0,,tbsp
7,46,1.0,1.0,,cup
7,47,50.0,2.0,,whole
7,47,50.0,1.0,,tbsp
7,47,50.0,1.0,,cup
7,48,25.0,2.0,,whole
7,48,25.0,1.0,,tbsp
7,48,25.0,1.0,,cup
7,49,1.0,2.0,,whole
7,49,1.0,1.0,,tbsp
7,49,1.0,1.0,,cup
8,50,2.0,1.0,,tbsp
8,50,2.0,1.0,,tbsp
8,50,2.0,1.0,,piece
8,51,2.0,1.0,,tbsp
8,51,2.0,1.0,,tbsp
8,51,2.0,1.0,,piece
8,52,0.5,1.0,,tbsp
8,52,0.5,1.0,,tbsp
8,52,0.5,1.0,,piece
8,53,200.0,1.0,,tbsp
8,53,200.0,1.0,,tbsp
8,53,200.0,1.0,,piece
8,54,1.0,1.0,,tbsp
8,54,1.0,1.0,,tbsp
8,54,1.0,1.0,,piece
8,55,50.0,1.0,,tbsp
8,55,50.0,1.0,,tbsp
8,55,50.0,1.0,,piece
8,56,20.0,1.0,,tbsp
8,56,20.0,1.0,,tbsp
8,56,20.0,1.0,,piece
8,57,100.0,1.0,,tbsp
8,57,100.0,1.0,,tbsp
8,57,100.0,1.0,,piece
9,58,100.0,1.0,g,cup
9,58,100.0,3.0,g,white
9,58,100.0,1.0,g,tbsp
9,59,100.0,1.0,mL,cup
9,59,100.0,3.0,mL,white
9,59,100.0,1.0,mL,tbsp
