experiment_id,ingredient_id,calories,calories,protein_g,protein_g,total_fat_g,total_fat_g,total_carbohydrate_g,total_carbohydrate_g
1,1,1932.0,436.8,24.0,12.36,43.5,1.2,,91.56
1,1,1932.0,48.4,24.0,0.0,43.5,0.0,,12.5
1,1,1932.0,71.5,24.0,6.3,43.5,4.75,,0.35
1,1,1932.0,148.8,24.0,7.81,43.5,8.05,,11.7
1,1,1932.0,22.1,24.0,1.11,43.5,0.25,,4.8
1,1,1932.0,336.0,24.0,24.86,43.5,25.09,,2.46
1,2,359.0,436.8,6.0,12.36,1.8,1.2,,91.56
1,2,359.0,48.4,6.0,0.0,1.8,0.0,,12.5
1,2,359.0,71.5,6.0,6.3,1.8,4.75,,0.35
1,2,359.0,148.8,6.0,7.81,1.8,8.05,,11.7
1,2,359.0,22.1,6.0,1.11,1.8,0.25,,4.8
1,2,359.0,336.0,6.0,24.86,1.8,25.09,,2.46
1,3,350.0,436.8,0.0,12.36,0.0,1.2,,91.56
1,3,350.0,48.4,0.0,0.0,0.0,0.0,,12.5
1,3,350.0,71.5,0.0,6.3,0.0,4.75,,0.35
1,3,350.0,148.8,0.0,7.81,0.0,8.05,,11.7
1,3,350.0,22.1,0.0,1.11,0.0,0.25,,4.8
1,3,350.0,336.0,0.0,24.86,0.0,25.09,,2.46
1,4,2.0,436.8,0.0,12.36,0.0,1.2,,91.56
1,4,2.0,48.4,0.0,0.0,0.0,0.0,,12.5
1,4,2.0,71.5,0.0,6.3,0.0,4.75,,0.35
1,4,2.0,148.8,0.0,7.81,0.0,8.05,,11.7
1,4,2.0,22.1,0.0,1.11,0.0,0.25,,4.8
1,4,2.0,336.0,0.0,24.86,0.0,25.09,,2.46
1,5,5.0,436.8,0.0,12.36,0.0,1.2,,91.56
1,5,5.0,48.4,0.0,0.0,0.0,0.0,,12.5
1,5,5.0,71.5,0.0,6.3,0.0,4.75,,0.35
1,5,5.0,148.8,0.0,7.81,0.0,8.05,,11.7
1,5,5.0,22.1,0.0,1.11,0.0,0.25,,4.8
1,5,5.0,336.0,0.0,24.86,0.0,25.09,,2.46
1,6,20.0,436.8,2.0,12.36,0.0,1.2,,91.56
1,6,20.0,48.4,2.0,0.0,0.0,0.0,,12.5
1,6,20.0,71.5,2.0,6.3,0.0,4.75,,0.35
1,6,20.0,148.8,2.0,7.81,0.0,8.05,,11.7
1,6,20.0,22.1,2.0,1.11,0.0,0.25,,4.8
1,6,20.0,336.0,2.0,24.86,0.0,25.09,,2.46
1,7,140.0,436.8,12.0,12.36,10.0,1.2,,91.56
1,7,140.0,48.4,12.0,0.0,10.0,0.0,,12.5
1,7,140.0,71.5,12.0,6.3,10.0,4.75,,0.35
1,7,140.0,148.8,12.0,7.81,10.0,8.05,,11.7
1,7,140.0,22.1,12.0,1.11,10.0,0.25,,4.8
1,7,140.0,336.0,12.0,24.86,10.0,25.09,,2.46
1,8,120.0,436.8,3.0,12.36,2.0,1.2,,91.56
1,8,120.0,48.4,3.0,0.0,2.0,0.0,,12.5
1,8,120.0,71.5,3.0,6.3,2.0,4.75,,0.35
1,8,120.0,148.8,3.0,7.81,2.0,8.05,,11.7
1,8,120.0,22.1,3.0,1.11,2.0,0.25,,4.8
1,8,120.0,336.0,3.0,24.86,2.0,25.09,,2.46
1,9,40.0,436.8,1.0,12.36,0.0,1.2,,91.56
1,9,40.0,48.4,1.0,0.0,0.0,0.0,,12.5
1,9,40.0,71.5,1.0,6.3,0.0,4.75,,0.35
1,9,40.0,148.8,1.0,7.81,0.0,8.05,,11.7
1,9,40.0,22.1,1.0,1.11,0.0,0.25,,4.8
1,9,40.0,336.0,1.0,24.86,0.0,25.09,,2.46
1,10,330.0,436.8,21.0,12.36,26.0,1.2,,91.56
1,10,330.0,48.4,21.0,0.0,26.0,0.0,,12.5
1,10,330.0,71.5,21.0,6.3,26.0,4.75,,0.35
1,10,330.0,148.8,21.0,7.81,26.0,8.05,,11.7
1,10,330.0,22.1,21.0,1.11,26.0,0.25,,4.8
1,10,330.0,336.0,21.0,24.86,26.0,25.09,,2.46
1,11,220.0,436.8,20.0,12.36,16.0,1.2,,91.56
1,11,220.0,48.4,20.0,0.0,16.0,0.0,,12.5
1,11,220.0,71.5,20.0,6.3,16.0,4.75,,0.35
1,11,220.0,148.8,20.0,7.81,16.0,8.05,,11.7
1,11,220.0,22.1,20.0,1.11,16.0,0.25,,4.8
1,11,220.0,336.0,20.0,24.86,16.0,25.09,,2.46
1,12,10.0,436.8,1.0,12.36,0.0,1.2,,91.56
1,12,10.0,48.4,1.0,0.0,0.0,0.0,,12.5
1,12,10.0,71.5,1.0,6.3,0.0,4.75,,0.35
1,12,10.0,148.8,1.0,7.81,0.0,8.05,,11.7
1,12,10.0,22.1,1.0,1.11,0.0,0.25,,4.8
1,12,10.0,336.0,1.0,24.86,0.0,25.09,,2.46
1,13,460.0,436.8,0.0,12.36,51.5,1.2,,91.56
1,13,460.0,48.4,0.0,0.0,51.5,0.0,,12.5
1,13,460.0,71.5,0.0,6.3,51.5,4.75,,0.35
1,13,460.0,148.8,0.0,7.81,51.5,8.05,,11.7
1,13,460.0,22.1,0.0,1.11,51.5,0.25,,4.8
1,13,460.0,336.0,0.0,24.86,51.5,25.09,,2.46
1,14,360.0,436.8,18.0,12.36,32.5,1.2,,91.56
1,14,360.0,48.4,18.0,0.0,32.5,0.0,,12.5
1,14,360.0,71.5,18.0,6.3,32.5,4.75,,0.35
1,14,360.0,148.8,18.0,7.81,32.5,8.05,,11.7
1,14,360.0,22.1,18.0,1.11,32.5,0.25,,4.8
1,14,360.0,336.0,18.0,24.86,32.5,25.09,,2.46
1,15,0.0,436.8,0.0,12.36,0.0,1.2,,91.56
1,15,0.0,48.4,0.0,0.0,0.0,0.0,,12.5
1,15,0.0,71.5,0.0,6.3,0.0,4.75,,0.35
1,15,0.0,148.8,0.0,7.81,0.0,8.05,,11.7
1,15,0.0,22.1,0.0,1.11,0.0,0.25,,4.8
1,15,0.0,336.0,0.0,24.86,0.0,25.09,,2.46
2,16,52.0,95.0,0.6,0.5,0.2,0.3,,25.1
2,17,0.0,95.0,0.0,0.5,0.0,0.3,,25.1
3,18,1080.0,262.5,40.0,10.5,20.0,1.58,,51.45
3,18,1080.0,100.38,40.0,0.11,20.0,11.35,,0.01
3,18,1080.0,63.84,40.0,0.06,20.0,0.0,,17.3
3,19,1150.0,262.5,10.0,10.5,120.0,1.58,,51.45
3,19,1150.0,100.38,10.0,0.11,120.0,11.35,,0.01
3,19,1150.0,63.84,10.0,0.06,120.0,0.0,,17.3
3,20,340.0,262.5,0.0,10.5,0.0,1.58,,51.45
3,20,340.0,100.38,0.0,0.11,0.0,11.35,,0.01
3,20,340.0,63.84,0.0,0.06,0.0,0.0,,17.3
3,21,0.0,262.5,0.0,10.5,0.0,1.58,,51.45
3,21,0.0,100.38,0.0,0.11,0.0,11.35,,0.01
3,21,0.0,63.84,0.0,0.06,0.0,0.0,,17.3
3,22,10.0,262.5,0.0,10.5,0.0,1.58,,51.45
3,22,10.0,100.38,0.0,0.11,0.0,11.35,,0.01
3,22,10.0,63.84,0.0,0.06,0.0,0.0,,17.3
3,23,20.0,262.5,2.0,10.5,0.0,1.58,,51.45
3,23,20.0,100.38,2.0,0.11,0.0,11.35,,0.01
3,23,20.0,63.84,2.0,0.06,0.0,0.0,,17.3
4,24,140.0,133.21,2.0,3.46,0.0,0.17,,30.27
4,24,140.0,353.6,2.0,34.0,0.0,22.1,,0.0
4,24,140.0,102.0,2.0,0.3,0.0,11.25,,0.3
4,24,140.0,1.92,2.0,0.11,0.0,0.01,,0.44
4,25,190.0,133.21,0.0,3.46,22.0,0.17,,30.27
4,25,190.0,353.6,0.0,34.0,22.0,22.1,,0.0
4,25,190.0,102.0,0.0,0.3,22.0,11.25,,0.3
4,25,190.0,1.92,0.0,0.11,22.0,0.01,,0.44
4,26,0.0,133.21,0.0,3.46,0.0,0.17,,30.27
4,26,0.0,353.6,0.0,34.0,0.0,22.1,,0.0
4,26,0.0,102.0,0.0,0.3,0.0,11.25,,0.3
