experiment_id,json_valid,json_preview
1,true,{"recipe_name": "Appam Balik Pizza"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "
2,true,{"recipe_name": "Frozen Apple Nectar"  "servings_estimated": 1  "per_serving": {"calories": 60  "total_fat_g": 0.2  "saturated_fat_g": 0.04  "sodium_mg": 1  "carbohydrate_g": 15  "fiber_g": 0.4  "suga
3,true,{"recipe_name": "Homemade Bagel Chips (Honey Butter Flavor)"  "servings_estimated": 1  "per_serving": {"calories": 320  "total_fat_g": 19  "saturated_fat_g": 12  "sodium_mg": 350  "carbohydrate_g": 25
4,true,{"recipe_name": "Japanese Salmon Baked Potato"  "servings_estimated": 1  "per_serving": {"calories": 420  "total_fat_g": 24  "saturated_fat_g": 8  "sodium_mg": 350  "carbohydrate_g": 20  "fiber_g": 4 
5,true,{"recipe_name": "banana creme brule"  "servings_estimated": 1  "per_serving": {"calories": 430  "total_fat_g": 24  "saturated_fat_g": 14  "sodium_mg": 150  "carbohydrate_g": 48  "fiber_g": 4  "sugars_
6,true,{"recipe_name": "Fried Dace Pasta"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "p
7,true,{"recipe_name": "Buttered Dog Dessert"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0
8,true,{"recipe_name": "Malaysian Lazy Cake"  "servings_estimated": 8  "per_serving": {"calories": 340  "total_fat_g": 20  "saturated_fat_g": 12  "sodium_mg": 350  "carbohydrate_g": 37  "fiber_g": 2  "sugars
9,true,{"recipe_name": "Castella Cake"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "prot
10,true,{"recipe_name": "Century Egg Carbonara"  "servings_estimated": 1  "per_serving": {"calories": 550  "total_fat_g": 34  "saturated_fat_g": 12  "sodium_mg": 450  "carbohydrate_g": 25  "fiber_g": 0  "suga
11,true,{"recipe_name": "Chicken Lemak Rice"  "servings_estimated": 1  "per_serving": {"calories": 520  "total_fat_g": 34  "saturated_fat_g": 23  "sodium_mg": 450  "carbohydrate_g": 40  "fiber_g": 4  "sugars_
12,true,{"recipe_name": "Hainanese Chicken Rice Balls"  "servings_estimated": 1  "per_serving": {"calories": 400  "total_fat_g": 20  "saturated_fat_g": 10  "sodium_mg": 450  "carbohydrate_g": 40  "fiber_g": 2
13,true,{"recipe_name": "Waterless Chicken Soup"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g":
14,true,{"recipe_name": "Lei La Jiao"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protei
15,true,{"recipe_name": "Coco Crunch Strawberry"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g":
16,true,{"recipe_name": "Seoul Corn Tart"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "pr
17,true,{"recipe_name": "Mini Croissant Bites"  "servings_estimated": 1  "per_serving": {"calories": 240  "total_fat_g": 12  "saturated_fat_g": 8  "sodium_mg": 350  "carbohydrate_g": 26  "fiber_g": 2  "sugars
18,true,{"recipe_name": "Black Sesame Tong Yuen Cookie"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sug
19,true,{"recipe_name": "Durian Curry"  "servings_estimated": 1  "per_serving": {"calories": 546  "total_fat_g": 39  "saturated_fat_g": 22  "sodium_mg": 450  "carbohydrate_g": 25  "fiber_g": 4  "sugars_g": 18
20,true,{"recipe_name": "Espresso Mart-a Kucing"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g":
21,true,{"recipe_name": "short fries"  "servings_estimated": 1  "per_serving": {"calories": 220  "total_fat_g": 12  "saturated_fat_g": 2  "sodium_mg": 350  "carbohydrate_g": 25  "fiber_g": 4  "sugars_g": 1  "
22,false,{"recipe_name": "Christmas Fruit Cake"  "servings_estimated": 1  "per_serving": {"calories": 1500  "total_fat_g": 90  "saturated_fat_g": 55  "sodium_mg": 350  "carbohydrate_g": 200  "fiber_g": 4  "sug
23,true,{"recipe_name": "Kante Ice Cream"  "servings_estimated": 1  "per_serving": {"calories": 450  "total_fat_g": 26  "saturated_fat_g": 16  "sodium_mg": 350  "carbohydrate_g": 45  "fiber_g": 2  "sugars_g":
24,true,{"recipe_name": "Gula Melaka Cake"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "p
25,true,{"recipe_name": "Kaya Toast with Cured Egg Yolk"  "servings_estimated": 1  "per_serving": {"calories": 850  "total_fat_g": 52  "saturated_fat_g": 28  "sodium_mg": 450  "carbohydrate_g": 64  "fiber_g":
26,true,{"recipe_name": "Kimchi Grilled Cheese"  "servings_estimated": 1  "per_serving": {"calories": 450  "total_fat_g": 24  "saturated_fat_g": 12  "sodium_mg": 350  "carbohydrate_g": 30  "fiber_g": 2  "suga
27,true,{"recipe_name": "Korean Salt Bread"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "
28,true,{"recipe_name": "Kueh Dadar/Kueh Ketayap"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g"
29,true,{"recipe_name": "Kuih Talam XL Kopi Kau Kau Extra Intense Melele"  "servings_estimated": 1  "per_serving": {"calories": 440  "total_fat_g": 24  "saturated_fat_g": 14  "sodium_mg": 200  "carbohydrate_g
30,true,{"recipe_name": "Spicy Mala Pasta"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "p
31,true,{"recipe_name": "Pandan Matcha Bandung"  "servings_estimated": 1  "per_serving": {"calories": 250  "total_fat_g": 10  "saturated_fat_g": 6  "sodium_mg": 50  "carbohydrate_g": 35  "fiber_g": 2  "sugars
32,true,{"recipe_name":"Mentaiko Pasta" "servings_estimated":1 "per_serving":{"calories":540 "total_fat_g":28 "saturated_fat_g":12 "sodium_mg":450 "carbohydrate_g":36 "fiber_g":2 "sugars_g":6 "protein_g":30} 
33,true,{"recipe_name": "Mooncake Wellington"  "servings_estimated": 1  "per_serving": {"calories": 540  "total_fat_g": 42  "saturated_fat_g": 12  "sodium_mg": 450  "carbohydrate_g": 30  "fiber_g": 2  "sugars
34,true,{"recipe_name": "Mug Lasagna"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protei
35,true,{"recipe_name": "Golden Diner or Pavilion Style Pancakes"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g
36,true,{"recipe_name": "Papaya Snow Fungus Soup"  "servings_estimated": 1  "per_serving": {"calories": 240  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 50  "carbohydrate_g": 60  "fiber_g": 2  "sugar
37,true,{"recipe_name": "Peanut Cookies"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "pro
38,true,{"recipe_name": "Pickle Shaved Ice Dessert"  "servings_estimated": 1  "per_serving": {"calories": 350  "total_fat_g": 18  "saturated_fat_g": 10  "sodium_mg": 200  "carbohydrate_g": 45  "fiber_g": 4  "
39,true,{"recipe_name": "Pineapple Bao"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "prot
40,true,{"recipe_name": "Porridge Pie"  "servings_estimated": 1  "per_serving": {"calories": 432  "total_fat_g": 27  "saturated_fat_g": 4  "sodium_mg": 450  "carbohydrate_g": 44  "fiber_g": 2  "sugars_g": 11 
41,true,{"recipe_name": "Carbonara Noodle Recipe"  "servings_estimated": 1  "per_serving": {"calories": 550  "total_fat_g": 37  "saturated_fat_g": 20  "sodium_mg": 450  "carbohydrate_g": 45  "fiber_g": 4  "su
42,true,{"recipe_name": "Potato Cream Udon Curry"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g"
43,true,{"recipe_name": "Rice Paper Croissant"  "servings_estimated": 1  "per_serving": {"calories": 320  "total_fat_g": 14  "saturated_fat_g": 10  "sodium_mg": 350  "carbohydrate_g": 43  "fiber_g": 2  "sugar
44,true,{"recipe_name":"Roti-Boy Cookies" "servings_estimated":1 "per_serving":{"calories":0 "total_fat_g":0 "saturated_fat_g":0 "sodium_mg":0 "carbohydrate_g":0 "fiber_g":0 "sugars_g":0 "protein_g":0} "total
45,true,{"recipe_name": "Coffee Bun"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protein
46,true,{"recipe_name": "Japanese Salmon Baked Potato"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "suga
47,true,{"recipe_name": "Mandarin Sticky Pudding"  "servings_estimated": 1  "per_serving": {"calories": 450  "total_fat_g": 22  "saturated_fat_g": 12  "sodium_mg": 250  "carbohydrate_g": 55  "fiber_g": 2  "su
48,true,{"recipe_name": "Chumuk Bab with Super Ring"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars
49,true,{"recipe_name": "Thai Coconut Ice Cream Bars"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugar
50,true,{"recipe_name": "Watermelon Sandwich"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0 
