experiment_id,ingredient_id,name_en,estimated_weight_g
1,1,,500.0
1,2,flour,90.0
1,3,sugar,100.0
1,4,salt,5.0
1,5,baking powder,10.0
1,6,yeast,10.0
1,7,egg,50.0
1,8,warm milk,200.0
1,9,tomato,150.0
1,10,mozzarella,115.0
1,11,prosciutto,110.0
1,12,arugula,20.0
1,13,olive oil,50.0
1,14,cured egg yolks,80.0
1,15,black pepper,5.0
2,16,Apple,120.0
2,17,,0.0
3,18,Bagel,450.0
3,19,Butter,250.0
3,20,Honey,100.0
3,21,Salt,5.0
3,22,MSG,5.0
3,23,Parsley Powder,10.0
4,24,Potatoes,200.0
4,25,Garlic Oil,20.0
4,26,Salt,5.0
4,27,Salmon,100.0
4,28,Japanese Mayo,80.0
4,29,Spring Onions,20.0
4,30,Tobiko,10.0
5,31,banana,120.0
5,32,milk,80.0
5,33,whipping cream,80.0
5,34,vanilla,5.0
5,35,cinnamon powder,3.0
5,36,egg yolks,60.0
5,37,sugar,80.0
6,38,Fried Dace,250.0
6,39,Salted Black Beans,100.0
6,40,Garlic Oil,100.0
6,41,Pasta,250.0
7,42,Eggs,120.0
7,43,Sugar,400.0
7,44,Milk,1800.0
7,45,Butter,225.0
7,46,Vanilla,10.0
7,47,Glutinous Rice Flour,150.0
7,48,Tapioca Flour,125.0
7,49,Baking Powder,30.0
8,50,Milo powder,50.0
8,51,cocoa powder,25.0
8,52,salt,5.0
8,53,condensed milk,1000.0
8,54,vanilla extract,10.0
8,55,cream,200.0
8,56,biscuits,300.0
8,57,chocolate sauce,500.0
9,58,Butter,50.0
9,59,Milk,80.0
9,60,Cake Flour,150.0
9,61,Egg Yolks,120.0
9,62,Vanilla,2.0
9,63,Salt,2.0
9,64,Egg Whites,120.0
9,65,Sugar,100.0
10,66,Century Egg,120.0
10,67,Egg,100.0
10,68,Cheese,100.0
10,69,Bacon,50.0
11,70,Chicken,500.0
11,71,Coconut Milk,350.0
11,72,Ginger,50.0
11,73,Chili Sauce,50.0
11,74,Salt,10.0
11,75,Spring Onion,50.0
12,76,,500.0
12,77,,20.0
12,78,,50.0
12,79,,10.0
12,80,,30.0
12,81,,100.0
13,82,chicken breast or thighs,500.0
13,83,onion,200.0
13,84,apple,200.0
13,85,carrot,100.0
