experiment_id,detected_ingredient_count
1,15
2,2
3,6
4,7
5,7
6,4
7,8
8,8
9,8
10,4
11,6
12,6
13,8
14,8
15,5
16,11
17,5
18,5
19,5
20,5
21,5
22,0
23,6
24,6
25,0
26,3
27,7
28,7
29,9
30,12
31,6
32,7
33,9
34,7
35,10
36,5
37,8
38,4
39,8
40,8
41,0
42,7
43,0
44,9
45,7
46,8
47,10
48,5
49,10
50,8
51,20
52,13
53,4
54,6
55,7
56,0
57,6
58,10
59,9
60,9
61,5
62,9
63,11
64,9
65,5
66,4
67,0
68,4
69,8
70,6
71,6
72,3
73,7
74,13
75,5
76,0
77,0
78,7
79,6
80,12
81,0
82,0
83,7
84,7
85,0
86,7
87,7
88,0
89,7
90,9
91,7
92,8
93,0
94,15
95,7
96,6
97,0
98,0
99,11
100,8
101,14
102,3
103,6
104,7
105,7
106,5
107,7
108,9
109,8
110,5
111,10
112,15
113,8
114,7
115,5
116,11
117,5
118,8
119,10
120,5
121,0
122,0
123,6
124,9
125,4
126,6
127,7
128,12
129,10
130,0
131,4
132,9
133,9
134,10
135,10
136,5
137,8
138,5
139,10
140,8
141,7
142,7
143,9
144,8
145,7
146,6
147,10
148,6
149,7
150,9
151,16
152,1
153,6
154,0
155,7
156,6
157,6
158,8
159,0
160,5
161,7
162,6
163,8
164,7
165,2
166,11
167,3
168,9
169,5
170,6
171,0
172,14
173,6
174,7
175,4
176,3
177,9
178,11
179,8
180,12
181,5
182,7
183,8
184,9
185,14
186,7
187,7
188,3
189,8
190,9
191,6
192,7
193,9
194,8
195,6
196,7
197,10
198,6
199,6
200,9
201,14
202,3
203,7
204,7
205,7
206,4
207,6
208,9
209,6
210,0
211,6
212,11
213,7
214,7
215,7
216,14
217,6
218,6
219,6
220,5
221,4
222,17
223,6
224,7
225,4
226,4
227,7
228,7
229,9
230,12
231,6
232,8
233,8
234,7
235,8
236,5
237,7
238,4
239,8
240,7
241,8
242,7
243,9
244,0
245,7
246,7
247,10
248,6
249,5
250,9
251,0
252,2
253,6
254,7
255,0
256,3
257,0
258,9
259,6
260,4
261,6
262,12
263,9
264,11
265,4
266,12
267,4
268,8
269,7
270,5
271,4
272,0
273,12
274,7
275,4
276,4
277,9
278,7
279,8
280,13
281,4
282,6
283,7
284,7
285,11
286,6
287,7
288,5
289,8
290,11
291,0
292,7
293,8
294,9
295,7
296,7
297,8
298,6
299,0
300,8
301,14
302,1
303,6
304,8
305,9
306,5
307,11
308,11
309,8
310,5
311,6
312,13
313,8
314,10
315,4
316,14
317,5
318,9
319,5
320,6
321,3
322,17
323,16
324,9
325,4
326,6
327,7
328,9
329,9
330,12
331,5
332,7
333,10
334,7
335,7
336,6
337,7
338,6
339,10
340,8
341,6
342,7
343,9
344,9
345,7
346,7
347,9
348,6
349,5
350,8
351,13
352,2
353,6
354,7
355,7
356,5
357,7
358,9
359,6
360,6
361,7
362,12
363,8
